Id,SalePrice
1379,84917.086
1380,130520.7
1381,49082.016
1382,192288.48
1383,144186.9
1384,144323.9
1385,98751.11
1386,89208.32
1387,247049.05
1388,123674.46
1389,265192.84
1390,103701.38
1391,200611.39
1392,177287.02
1393,93287.43
1394,166068.56
1395,206963.48
1396,254142.95
1397,122048.29
1398,114137.14
1399,138576.58
1400,141574.81
1401,90497.02
1402,162189.42
1403,188354.61
1404,229188.83
1405,71148.83
1406,201625.27
1407,104524.57
1408,82849.91
1409,76061.695
1410,192211.3
1411,191174.84
1412,143452.66
1413,60549.824
1414,235190.11
1415,161111.62
1416,218002.11
1417,143673.69
1418,263528.56
1419,109123.42
1420,195446.88
1421,140153.11
1422,127489.625
1423,115442.45
1424,163258.42
1425,126069.625
1426,145750.75
1427,201302.89
1428,107615.23
1429,68327.836
1430,170192.56
1431,147241.89
1432,122386.62
1433,83146.15
1434,172204.23
1435,112190.164
1436,165177.62
1437,88582.77
1438,262692.97
1439,147961.89
1440,162039.16
1441,191439.14
1442,115925.695
1443,262155.3
1444,76582.18
1445,201517.2
1446,104368.73
1447,110887.63
1448,226829.14
1449,92617.516
1450,40793.695
1451,118170.64
1452,239368.44
1453,112030.82
1454,102688.82
1455,166149.73
1456,164372.66
1457,204351.61
1458,200258.62
1459,113095.79
1460,115723.055
